,antecedants,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
311,frozenset(['Resist Anti-Aging Eye Cream']),frozenset(['Resist C15 Super Booster - 20 ml']),0.0165003587035,0.0560881758299,0.0014348138003,0.0869565217391,1.55035389282,0.000509338780084,1.03380818838
312,frozenset(['Calm Sensitive Toner (Normal / Dry) - 118 ml']),frozenset(['Calm Sensitive Nighttime Moisturizer (Normal / Dry) - 60 ml']),0.00515228591926,0.00502184830105,0.00110871975478,0.215189873418,42.8507315469,0.00108284575649,1.26779474168
313,frozenset(['Calm Sensitive Nighttime Moisturizer (Normal / Dry) - 60 ml']),frozenset(['Calm Sensitive Toner (Normal / Dry) - 118 ml']),0.00502184830105,0.00515228591926,0.00110871975478,0.220779220779,42.8507315469,0.00108284575649,1.27672123307
314,frozenset(['Resist Whitening Essence - 30 ml']),frozenset(['Resist Perfectly Balanced Foaming Cleanser - 190 ml']),0.0193047674949,0.0304571838518,0.00156525141851,0.0810810810811,2.6621332253,0.000977282565699,1.05509071169
315,frozenset(['Resist Perfectly Balanced Foaming Cleanser - 190 ml']),frozenset(['Resist Whitening Essence - 30 ml']),0.0304571838518,0.0193047674949,0.00156525141851,0.051391862955,2.6621332253,0.000977282565699,1.03382544826
316,frozenset(['Resist Ultra-Light Super Antioxidant Concentrate Serum with Hyaluronic Acid - 30 ml']),frozenset(['Resist Anti-Aging Clear Skin Hydrator - 60 ml']),0.0121306984934,0.0296093393335,0.0014348138003,0.118279569892,3.99467102458,0.00107563183226,1.10056501759
317,frozenset(['Resist Anti-Aging Clear Skin Hydrator - 60 ml']),frozenset(['Resist Ultra-Light Super Antioxidant Concentrate Serum with Hyaluronic Acid - 30 ml']),0.0296093393335,0.0121306984934,0.0014348138003,0.0484581497797,3.99467102458,0.00107563183226,1.03817746038
318,frozenset(['Resist 10% Niacinamide Booster - 20 ml']),frozenset(['Resist Ultra-Light Super Antioxidant Concentrate Serum - 30 ml']),0.0488488880193,0.0157829518033,0.00130437618209,0.0267022696929,1.69184256695,0.000533396536837,1.01121888765
319,frozenset(['Resist Ultra-Light Super Antioxidant Concentrate Serum - 30 ml']),frozenset(['Resist 10% Niacinamide Booster - 20 ml']),0.0157829518033,0.0488488880193,0.00130437618209,0.0826446280992,1.69184256695,0.000533396536837,1.03684040135
320,frozenset(['Clear Acne Extra Strength Exfoliating Treatment 2% BHA (Salicylic Acid) - 118 ml']),frozenset(['Skin Balancing Invisible Finish Moisture Gel - 60 ml']),0.0236092088958,0.0336529054979,0.0014348138003,0.060773480663,1.80589104458,0.000640295324447,1.02887543591
321,frozenset(['Skin Balancing Invisible Finish Moisture Gel - 60 ml']),frozenset(['Clear Acne Extra Strength Exfoliating Treatment 2% BHA (Salicylic Acid) - 118 ml']),0.0336529054979,0.0236092088958,0.0014348138003,0.0426356589147,1.80589104458,0.000640295324447,1.0198737818
322,frozenset(['Clear Acne Face Wash - 177 ml']),frozenset(['Clear Acne Regular Strength Exfoliating Treatment 2% BHA (Salicylic Acid) - 118 ml']),0.0400443487902,0.0273918998239,0.00508706711015,0.127035830619,4.63771521638,0.00399017631958,1.11414435356
323,frozenset(['Clear Acne Regular Strength Exfoliating Treatment 2% BHA (Salicylic Acid) - 118 ml']),frozenset(['Clear Acne Face Wash - 177 ml']),0.0273918998239,0.0400443487902,0.00508706711015,0.185714285714,4.63771521638,0.00399017631958,1.17889290499
324,frozenset(['Resist Whitening Essence - 30 ml']),frozenset(['Radiance Renewal Whitening Mask - 50ml']),0.0193047674949,0.00932628970195,0.00169568903672,0.0878378378378,9.4183046683,0.00151564718243,1.08607191944
